,Hash,X,Y
0,F6655E39465C2FF5B016980D918EA028,-0.13231445775627199,-0.048482322008587354
1,FGJKJJ1_2BA0D0083976A5C1E3315413CDCFFCD2,-0.093695436067585,-0.035504386299256084
2,65018CD542145A3792BA09985734C12A,-0.093695436067585,-0.03550438629925603
3,6FAA4740F99408D4D2DDDD0B09BBDEFD,-0.093695436067585,-0.03550438629925603
4,F8437E44748D2C3FCF84019766F4E6DC,-0.093695436067585,-0.03550438629925603
5,B98hX8E8622C393D7E832D39E620EAD5D3B49,0.21812270811056855,-0.07314733261580694
6,SAM_B659D71AE168E774FAAF38DB30F4A84,0.047959738825403844,0.16045174422436898
7,POL55_A4F1ECC4D25B33395196B5D51A06790,0.047959738825403844,0.16045174422436898
8,BVJ2D9FBF759F527AF373E34673DC3ACA462,-0.093695436067585,-0.03550438629925603
9,AAAz2E1B6940985A23E5639450F8391820655,0.22111967134217975,-0.08012532002901818
10,VBMM9_149B7BD7218AAB4E257D28469FDDB0D,-0.016223052122606777,0.09878050968221656
11,NBV_8B75BCBFF174C25A0161F30758509A44,-0.093695436067585,-0.03550438629925603
12,TG78Z__727A6800991EEAD454E53E8AF164A99C,0.2248433858045124,-0.08551999934081363
13,RTC_7F85D7F628CE62D1D8F7B39D8940472,-0.016223052122606777,0.09878050968221656
14,B07322743778B5868475DBE66EEDAC4F,-0.13231445775627196,-0.04848232200858736
15,AL65_DB05DF0498B59B42A8E493CF3C10C578,0.22111967134217975,-0.08012532002901818
16,JKK8CA6FE7A1315AF5AFEAC2961460A80569,-0.093695436067585,-0.03550438629925603
17,FHHH6576C196385407B0F7F4B1B537D88983,-0.093695436067585,-0.03550438629925603
18,785003A405BC7A4EBCBB21DDB757BF3F,-0.093695436067585,-0.03550438629925603
19,L11_1415EB8519D13328091CC5C76A624E3D,-0.016223052122606777,0.09878050968221656
20,FTTR9EA3C16194CE354C244C1B74C46CD92E,-0.13231445775627196,-0.04848232200858736
21,JH78C0A33A1B472A8C16123FD696A5CE5EBB,-0.093695436067585,-0.03550438629925603
22,GBV66_8F259BB36E00D124963CFA9B86F502E,0.047959738825403844,0.16045174422436898
23,99A39866A657A10949FCB6D634BB30D5,-0.093695436067585,-0.03550438629925603
24,VC990_468FF2C12CFFC7E5B2FE0EE6BB3B239E,0.2248433858045124,-0.08551999934081363
25,FGTR43_EF8E0FB20E7228C7492CCDC59D87C690,0.22605937975673915,-0.0798553382797026
26,A316D5AECA269CA865077E7FFF356E7D,-0.093695436067585,-0.03550438629925603
28,HJGQDD892986B2249B5214639ECC8AC0223,-0.093695436067585,-0.03550438629925603
29,GFT4_7DDD3D72EAD03C7518F5D47650C8572,0.1289820188817889,0.04822995586702621
30,EEE99EC8AA67B05407C01094184C33D2B5A44,-0.13231445775627196,-0.04848232200858736
31,650A6FCA433EE243391E4B4C11F09438,-0.093695436067585,-0.03550438629925603
32,PL98_BD8B082B7711BC980252F988BB0CA936,0.22111967134217975,-0.08012532002901818
33,1F2EB7B090018D975E6D9B40868C94CA,-0.13231445775627196,-0.04848232200858736
34,8442AE37B91F279A9F06DE4C60B286A3,-0.13231445775627196,-0.04848232200858736
35,KLp90_6D5C8FC4B14559F73B6136D85B94198,0.047959738825403844,0.16045174422436898
36,K99_C3A9A7B026BFE0E55FF219FD6AA7D94,0.047959738825403844,0.16045174422436898
37,33DE5067A433A6EC5C328067DC18EC37,-0.093695436067585,-0.03550438629925603
38,NV99_C9C9DBF388A8D81D8CFB4D3FC05F8E4,0.047959738825403844,0.16045174422436898
39,DS22_A670D13D4D014169C4080328B8FEB86,0.047959738825403844,0.16045174422436898
40,QW2_4C6BDDCCA2695D6202DF38708E14FC7E,0.22605937975673915,-0.0798553382797026
